🔄 GitHub GraphQL processing started: 0/1030 repositories (progress every 100)
🔄 GitHub GraphQL processing: 0/1030 repositories processed
🔄 GitHub GraphQL progress: 100/1030 (total_cost=99 avg_cost=1.00 remaining=4670 reset=00:35 UTC)
🔄 GitHub GraphQL progress: 200/1030 (total_cost=198 avg_cost=1.00 remaining=4562 reset=00:35 UTC)
🔄 GitHub GraphQL progress: 300/1030 (total_cost=296 avg_cost=1.00 remaining=4452 reset=00:35 UTC)
🔄 GitHub GraphQL progress: 400/1030 (total_cost=396 avg_cost=1.00 remaining=4360 reset=00:35 UTC)
🔄 GitHub GraphQL progress: 500/1030 (total_cost=496 avg_cost=1.00 remaining=4257 reset=00:35 UTC)
🔄 GitHub GraphQL progress: 600/1030 (total_cost=595 avg_cost=1.00 remaining=4161 reset=00:35 UTC)
🔄 GitHub GraphQL progress: 700/1030 (total_cost=695 avg_cost=1.00 remaining=4058 reset=00:35 UTC)
🔄 GitHub GraphQL progress: 800/1030 (total_cost=793 avg_cost=1.00 remaining=3963 reset=00:35 UTC)
🔄 GitHub GraphQL progress: 900/1030 (total_cost=893 avg_cost=1.00 remaining=3860 reset=00:35 UTC)
🔄 GitHub GraphQL progress: 1000/1030 (total_cost=991 avg_cost=1.00 remaining=3761 reset=00:35 UTC)
🔄 GitHub GraphQL progress: 1030/1030 (total_cost=1021 avg_cost=1.00 remaining=3729 reset=00:35 UTC)
✅ GitHub GraphQL processing completed: 1030/1030 (total_cost=1021 avg_cost=1.00 remaining=3729 reset=00:35 UTC)
STATUS      PURL                                                                RELATION  LIFECYCLE
✅ ok        pkg:npm/p-map@3.0.0                                                 direct    Active
✅ ok        pkg:npm/%40babel/code-frame@7.18.6                                  direct    Active
✅ ok        pkg:npm/is-fullwidth-code-point@2.0.0                               direct    Active
✅ ok        pkg:npm/nopt@4.0.3                                                  direct    Active
✅ ok        pkg:npm/diff@4.0.2                                                  direct    Active
✅ ok        pkg:npm/form-data@2.5.1                                             direct    Active
⚠️ caution  pkg:npm/is-stream@2.0.1                                             direct    Stalled
✅ ok        pkg:npm/define-property@0.2.5                                       direct    Legacy-Safe
✅ ok        pkg:npm/strip-ansi@5.2.0                                            direct    Active
✅ ok        pkg:npm/extend-shallow@2.0.1                                        direct    Legacy-Safe
⚠️ caution  pkg:npm/escape-string-regexp@4.0.0                                  direct    Stalled
✅ ok        pkg:npm/ignore@4.0.6                                                direct    Active
✅ ok        pkg:npm/normalize-path@3.0.0                                        direct    Legacy-Safe
⚠️ caution  pkg:npm/isarray@1.0.0                                               direct    Stalled
⚠️ caution  pkg:npm/get-stream@3.0.0                                            direct    Stalled
✅ ok        pkg:npm/pify@2.3.0                                                  direct    Legacy-Safe
✅ ok        pkg:npm/define-property@1.0.0                                       direct    Legacy-Safe
✅ ok        pkg:npm/file-type@5.2.0                                             direct    Active
✅ ok        pkg:npm/estraverse@5.3.0                                            direct    Legacy-Safe
✅ ok        pkg:npm/acorn@8.8.2                                                 direct    Active
✅ ok        pkg:npm/strip-json-comments@2.0.1                                   direct    Active
🔍 review    pkg:npm/juice-shop@14.5.1                                           direct    Review Needed
🔴 replace   pkg:npm/%40ampproject/remapping@2.2.0                               direct    EOL-Confirmed
✅ ok        pkg:npm/%40babel/code-frame@7.12.11                                 direct    Active
✅ ok        pkg:npm/%40babel/compat-data@7.20.14                                direct    Active
✅ ok        pkg:npm/%40babel/core@7.20.12                                       direct    Active
✅ ok        pkg:npm/%40babel/generator@7.20.14                                  direct    Active
✅ ok        pkg:npm/%40babel/helper-compilation-targets@7.20.7                  direct    Active
✅ ok        pkg:npm/%40babel/helper-environment-visitor@7.18.9                  direct    Active
