🔄 GitHub GraphQL processing started: 0/1030 repositories (progress every 100)
🔄 GitHub GraphQL processing: 0/1030 repositories processed
🔄 GitHub GraphQL progress: 100/1030 (total_cost=99 avg_cost=1.00 remaining=4670 reset=00:35 UTC)
🔄 GitHub GraphQL progress: 200/1030 (total_cost=198 avg_cost=1.00 remaining=4562 reset=00:35 UTC)
🔄 GitHub GraphQL progress: 300/1030 (total_cost=296 avg_cost=1.00 remaining=4452 reset=00:35 UTC)
🔄 GitHub GraphQL progress: 400/1030 (total_cost=396 avg_cost=1.00 remaining=4360 reset=00:35 UTC)
🔄 GitHub GraphQL progress: 500/1030 (total_cost=496 avg_cost=1.00 remaining=4257 reset=00:35 UTC)
🔄 GitHub GraphQL progress: 600/1030 (total_cost=595 avg_cost=1.00 remaining=4161 reset=00:35 UTC)
🔄 GitHub GraphQL progress: 700/1030 (total_cost=695 avg_cost=1.00 remaining=4058 reset=00:35 UTC)
🔄 GitHub GraphQL progress: 800/1030 (total_cost=793 avg_cost=1.00 remaining=3963 reset=00:35 UTC)
🔄 GitHub GraphQL progress: 900/1030 (total_cost=893 avg_cost=1.00 remaining=3860 reset=00:35 UTC)
🔄 GitHub GraphQL progress: 1000/1030 (total_cost=991 avg_cost=1.00 remaining=3761 reset=00:35 UTC)
🔄 GitHub GraphQL progress: 1030/1030 (total_cost=1021 avg_cost=1.00 remaining=3729 reset=00:35 UTC)
✅ GitHub GraphQL processing completed: 1030/1030 (total_cost=1021 avg_cost=1.00 remaining=3729 reset=00:35 UTC)
STATUS      PURL                                                                RELATION  LIFECYCLE
✅ ok        pkg:npm/%40nlpjs/ner@4.26.1                                         direct    Legacy-Safe
✅ ok        pkg:npm/%40nlpjs/neural@4.25.0                                      direct    Legacy-Safe
✅ ok        pkg:npm/%40nlpjs/nlg@4.26.1                                         direct    Legacy-Safe
✅ ok        pkg:npm/%40nlpjs/nlp@4.26.1                                         direct    Legacy-Safe
✅ ok        pkg:npm/%40nlpjs/nlu@4.26.1                                         direct    Legacy-Safe
✅ ok        pkg:npm/%40nlpjs/request@4.25.0                                     direct    Legacy-Safe
✅ ok        pkg:npm/%40nlpjs/sentiment@4.26.1                                   direct    Legacy-Safe
✅ ok        pkg:npm/%40nlpjs/similarity@4.26.1                                  direct    Legacy-Safe
✅ ok        pkg:npm/%40nlpjs/slot@4.26.1                                        direct    Legacy-Safe
⚠️ caution  pkg:npm/%40nodelib/fs.scandir@2.1.5                                 direct    Stalled
⚠️ caution  pkg:npm/%40nodelib/fs.stat@2.0.5                                    direct    Stalled
⚠️ caution  pkg:npm/%40nodelib/fs.walk@1.2.8                                    direct    Stalled
✅ ok        pkg:npm/%40npmcli/fs@1.1.1                                          direct    Active
🔴 replace   pkg:npm/%40npmcli/move-file@1.1.2                                   direct    EOL-Confirmed
✅ ok        pkg:npm/%40otplib/core@12.0.1                                       direct    Active
🔴 replace   pkg:npm/%40otplib/plugin-crypto@12.0.1                              direct    EOL-Confirmed
🔴 replace   pkg:npm/%40otplib/plugin-thirty-two@12.0.1                          direct    EOL-Confirmed
🔴 replace   pkg:npm/%40otplib/preset-default@12.0.1                             direct    EOL-Confirmed
✅ ok        pkg:npm/%40otplib/preset-v11@12.0.1                                 direct    Active
✅ ok        pkg:npm/%40sideway/address@4.1.4                                    direct    Legacy-Safe
✅ ok        pkg:npm/%40sideway/formula@3.0.1                                    direct    Legacy-Safe
✅ ok        pkg:npm/%40sideway/pinpoint@2.0.0                                   direct    Legacy-Safe
✅ ok        pkg:npm/%40sindresorhus/is@0.7.0                                    direct    Active
✅ ok        pkg:npm/%40sinonjs/commons@1.8.6                                    direct    Legacy-Safe
✅ ok        pkg:npm/%40sinonjs/commons@2.0.0                                    direct    Legacy-Safe
✅ ok        pkg:npm/%40sinonjs/fake-timers@10.0.2                               direct    Active
✅ ok        pkg:npm/%40sinonjs/fake-timers@6.0.1                                direct    Active
✅ ok        pkg:npm/%40sinonjs/fake-timers@7.1.2                                direct    Active
✅ ok        pkg:npm/%40sinonjs/samsam@6.1.3                                     direct    Active
🔴 replace   pkg:npm/%40sinonjs/text-encoding@0.7.2                              direct    EOL-Confirmed
✅ ok        pkg:npm/%40swc/helpers@0.3.17                                       direct    Active
⚠️ caution  pkg:npm/%40tokenizer/token@0.3.0                                    direct    Stalled
✅ ok        pkg:npm/%40tootallnate/once@1.1.2                                   direct    Active
✅ ok        pkg:npm/%40tootallnate/once@2.0.0                                   direct    Active
✅ ok        pkg:npm/%40tsconfig/node10@1.0.9                                    direct    Active
✅ ok        pkg:npm/%40tsconfig/node12@1.0.11                                   direct    Active
✅ ok        pkg:npm/%40tsconfig/node14@1.0.3                                    direct    Active
✅ ok        pkg:npm/%40tsconfig/node16@1.0.3                                    direct    Active
✅ ok        pkg:npm/%40types/babel__core@7.20.0                                 direct    Active
✅ ok        pkg:npm/%40types/babel__generator@7.6.4                             direct    Active
✅ ok        pkg:npm/%40types/babel__template@7.4.1                              direct    Active
✅ ok        pkg:npm/%40types/babel__traverse@7.18.3                             direct    Active
✅ ok        pkg:npm/%40types/bluebird@3.5.38                                    direct    Active
✅ ok        pkg:npm/%40types/body-parser@1.19.2                                 direct    Active
✅ ok        pkg:npm/%40types/caseless@0.12.2                                    direct    Active
✅ ok        pkg:npm/%40types/chai-as-promised@7.1.5                             direct    Active
✅ ok        pkg:npm/%40types/chai@4.3.4                                         direct    Active
✅ ok        pkg:npm/%40types/component-emitter@1.2.11                           direct    Active
✅ ok        pkg:npm/%40types/compression@1.7.2                                  direct    Active
🔴 replace   pkg:npm/%40types/config@0.0.41                                      direct    EOL-Confirmed
✅ ok        pkg:npm/%40types/connect@3.4.35                                     direct    Active
✅ ok        pkg:npm/%40types/continuation-local-storage@3.2.4                   direct    Active
✅ ok        pkg:npm/%40types/cookie-parser@1.4.3                                direct    Active
🔴 replace   pkg:npm/%40types/cookie@0.4.1                                       direct    EOL-Confirmed
✅ ok        pkg:npm/%40types/cors@2.8.13                                        direct    Active
✅ ok        pkg:npm/%40types/cross-spawn@6.0.2                                  direct    Active
✅ ok        pkg:npm/%40types/debug@4.1.7                                        direct    Active
✅ ok        pkg:npm/%40types/decompress@4.2.4                                   direct    Active
✅ ok        pkg:npm/%40types/download@6.2.4                                     direct    Active
✅ ok        pkg:npm/%40types/engine.io@3.1.7                                    direct    Active
✅ ok        pkg:npm/%40types/errorhandler@1.5.0                                 direct    Active
🔴 replace   pkg:npm/%40types/express-jwt@6.0.4                                  direct    EOL-Confirmed
✅ ok        pkg:npm/%40types/express-serve-static-core@4.17.33                  direct    Active
🔴 replace   pkg:npm/%40types/express-unless@2.0.1                               direct    EOL-Confirmed
✅ ok        pkg:npm/%40types/express@4.17.17                                    direct    Active
✅ ok        pkg:npm/%40types/frisby@2.0.14                                      direct    Active
✅ ok        pkg:npm/%40types/fs-extra@9.0.13                                    direct    Active
🔴 replace   pkg:npm/%40types/glob@7.2.0                                         direct    EOL-Confirmed
✅ ok        pkg:npm/%40types/got@8.3.6                                          direct    Active
✅ ok        pkg:npm/%40types/graceful-fs@4.1.6                                  direct    Active
✅ ok        pkg:npm/%40types/i18n@0.12.0                                        direct    Active
✅ ok        pkg:npm/%40types/istanbul-lib-coverage@2.0.4                        direct    Active
✅ ok        pkg:npm/%40types/istanbul-lib-report@3.0.0                          direct    Active
✅ ok        pkg:npm/%40types/istanbul-reports@3.0.1                             direct    Active
✅ ok        pkg:npm/%40types/jasmine@3.9.1                                      direct    Active
✅ ok        pkg:npm/%40types/jest@26.0.24                                       direct    Active
✅ ok        pkg:npm/%40types/js-yaml@3.12.7                                     direct    Active
✅ ok        pkg:npm/%40types/json-schema@7.0.11                                 direct    Active
🔴 replace   pkg:npm/%40types/json5@0.0.29                                       direct    EOL-Confirmed
✅ ok        pkg:npm/%40types/jsonwebtoken@8.5.9                                 direct    Active
✅ ok        pkg:npm/%40types/jws@3.2.5                                          direct    Active
✅ ok        pkg:npm/%40types/lodash@4.14.191                                    direct    Active
🔴 replace   pkg:npm/%40types/mime@3.0.1                                         direct    EOL-Confirmed
🔴 replace   pkg:npm/%40types/minimatch@5.1.2                                    direct    EOL-Confirmed
✅ ok        pkg:npm/%40types/mocha@8.2.3                                        direct    Active
✅ ok        pkg:npm/%40types/morgan@1.9.4                                       direct    Active
✅ ok        pkg:npm/%40types/ms@0.7.31                                          direct    Active
✅ ok        pkg:npm/%40types/multer@1.4.7                                       direct    Active
✅ ok        pkg:npm/%40types/node-fetch@2.6.2                                   direct    Active
✅ ok        pkg:npm/%40types/node@14.18.36                                      direct    Active
✅ ok        pkg:npm/%40types/node@17.0.45                                       direct    Active
✅ ok        pkg:npm/%40types/normalize-package-data@2.4.1                       direct    Active
✅ ok        pkg:npm/%40types/on-finished@2.3.1                                  direct    Active
✅ ok        pkg:npm/%40types/pdfkit@0.10.6                                      direct    Active
✅ ok        pkg:npm/%40types/portscanner@2.1.1                                  direct    Active
🔴 replace   pkg:npm/%40types/prettier@2.7.2                                     direct    EOL-Confirmed
✅ ok        pkg:npm/%40types/pug@2.0.6                                          direct    Active
✅ ok        pkg:npm/%40types/qs@6.9.7                                           direct    Active
✅ ok        pkg:npm/%40types/range-parser@1.2.4                                 direct    Active
✅ ok        pkg:npm/%40types/request@2.48.8                                     direct    Active
✅ ok        pkg:npm/%40types/sanitize-html@1.27.2                               direct    Active
✅ ok        pkg:npm/%40types/semver@7.3.13                                      direct    Active
🔴 replace   pkg:npm/%40types/sequelize@4.28.14                                  direct    EOL-Confirmed
✅ ok        pkg:npm/%40types/serve-index@1.9.1                                  direct    Active
✅ ok        pkg:npm/%40types/serve-static@1.15.0                                direct    Active
✅ ok        pkg:npm/%40types/sinon-chai@3.2.9                                   direct    Active
✅ ok        pkg:npm/%40types/sinon@10.0.13                                      direct    Active
✅ ok        pkg:npm/%40types/sinonjs__fake-timers@8.1.1                         direct    Active
✅ ok        pkg:npm/%40types/sizzle@2.3.3                                       direct    Active
🔴 replace   pkg:npm/%40types/socket.io-client@1.4.36                            direct    EOL-Confirmed
🔴 replace   pkg:npm/%40types/socket.io-parser@3.0.0                             direct    EOL-Confirmed
🔴 replace   pkg:npm/%40types/socket.io@2.1.13                                   direct    EOL-Confirmed
✅ ok        pkg:npm/%40types/stack-utils@2.0.1                                  direct    Active
🔴 replace   pkg:npm/%40types/strip-bom@3.0.0                                    direct    EOL-Confirmed
🔴 replace   pkg:npm/%40types/strip-json-comments@0.0.30                         direct    EOL-Confirmed
✅ ok        pkg:npm/%40types/swagger-ui-express@4.1.3                           direct    Active
✅ ok        pkg:npm/%40types/tough-cookie@4.0.2                                 direct    Active
✅ ok        pkg:npm/%40types/triple-beam@1.3.2                                  direct    Active
✅ ok        pkg:npm/%40types/unzipper@0.10.5                                    direct    Active
✅ ok        pkg:npm/%40types/validator@13.7.12                                  direct    Active
✅ ok        pkg:npm/%40types/yargs-parser@21.0.0                                direct    Active
✅ ok        pkg:npm/%40types/yargs@15.0.15                                      direct    Active
✅ ok        pkg:npm/%40types/yauzl@2.10.0                                       direct    Active
✅ ok        pkg:npm/%40typescript-eslint/eslint-plugin@4.33.0                   direct    Active
✅ ok        pkg:npm/%40typescript-eslint/experimental-utils@4.33.0              direct    Active
✅ ok        pkg:npm/%40typescript-eslint/parser@4.33.0                          direct    Active
✅ ok        pkg:npm/%40typescript-eslint/scope-manager@4.33.0                   direct    Active
✅ ok        pkg:npm/%40typescript-eslint/types@4.33.0                           direct    Active
✅ ok        pkg:npm/%40typescript-eslint/typescript-estree@4.33.0               direct    Active
✅ ok        pkg:npm/%40typescript-eslint/visitor-keys@4.33.0                    direct    Active
✅ ok        pkg:npm/%40ungap/promise-all-settled@1.1.2                          direct    Legacy-Safe
✅ ok        pkg:npm/%40xmldom/xmldom@0.8.6                                      direct    Active
✅ ok        pkg:npm/1to2@1.0.0                                                  direct    Active
🔴 replace   pkg:npm/abab@2.0.6                                                  direct    EOL-Confirmed
✅ ok        pkg:npm/abbrev@1.1.1                                                direct    Active
✅ ok        pkg:npm/accepts@1.3.8                                               direct    Active
✅ ok        pkg:npm/acorn-globals@6.0.0                                         direct    Legacy-Safe
✅ ok        pkg:npm/acorn-jsx@5.3.2                                             direct    Legacy-Safe
✅ ok        pkg:npm/acorn-walk@7.2.0                                            direct    Active
✅ ok        pkg:npm/acorn@7.4.1                                                 direct    Active
✅ ok        pkg:npm/agent-base@6.0.2                                            direct    Active
⚠️ caution  pkg:npm/agentkeepalive@4.2.1                                        direct    Stalled
✅ ok        pkg:npm/aggregate-error@3.1.0                                       direct    Legacy-Safe
✅ ok        pkg:npm/ajv@6.12.6                                                  direct    Active
✅ ok        pkg:npm/ajv@8.12.0                                                  direct    Active
✅ ok        pkg:npm/ansi-colors@4.1.1                                           direct    Legacy-Safe
✅ ok        pkg:npm/ansi-escapes@4.3.2                                          direct    Active
✅ ok        pkg:npm/ansi-regex@3.0.1                                            direct    Active
✅ ok        pkg:npm/ansi-regex@5.0.1                                            direct    Active
✅ ok        pkg:npm/ansi-styles@2.2.1                                           direct    Active
✅ ok        pkg:npm/ansi-styles@3.2.1                                           direct    Active
✅ ok        pkg:npm/anymatch@2.0.0                                              direct    Legacy-Safe
✅ ok        pkg:npm/anymatch@3.1.3                                              direct    Legacy-Safe
✅ ok        pkg:npm/append-field@1.0.0                                          direct    Legacy-Safe
✅ ok        pkg:npm/append-transform@2.0.0                                      direct    Legacy-Safe
✅ ok        pkg:npm/aproba@1.2.0                                                direct    Active
✅ ok        pkg:npm/arch@2.2.0                                                  direct    Legacy-Safe
✅ ok        pkg:npm/archive-type@4.0.0                                          direct    Legacy-Safe
✅ ok        pkg:npm/archiver-utils@1.3.0                                        direct    Legacy-Safe
⚠️ caution  pkg:npm/archiver@1.3.0                                              direct    Stalled
🔍 review    pkg:npm/archy@1.0.0                                                 direct    Review Needed
🔴 replace   pkg:npm/are-we-there-yet@1.1.7                                      direct    EOL-Confirmed
🔴 replace   pkg:npm/are-we-there-yet@2.0.0                                      direct    EOL-Confirmed
🔴 replace   pkg:npm/are-we-there-yet@3.0.1                                      direct    EOL-Confirmed
✅ ok        pkg:npm/arg@4.1.3                                                   direct    Legacy-Safe
✅ ok        pkg:npm/argparse@1.0.10                                             direct    Legacy-Safe
✅ ok        pkg:npm/argparse@2.0.1                                              direct    Legacy-Safe
✅ ok        pkg:npm/arr-diff@4.0.0                                              direct    Legacy-Safe
✅ ok        pkg:npm/arr-flatten@1.1.0                                           direct    Legacy-Safe
✅ ok        pkg:npm/arr-union@3.1.0                                             direct    Legacy-Safe
✅ ok        pkg:npm/array-each@1.0.1                                            direct    Legacy-Safe
✅ ok        pkg:npm/array-flatten@1.1.1                                         direct    Legacy-Safe
✅ ok        pkg:npm/array-includes@3.1.6                                        direct    Active
✅ ok        pkg:npm/array-slice@1.1.0                                           direct    Legacy-Safe
✅ ok        pkg:npm/array-union@2.1.0                                           direct    Legacy-Safe
✅ ok        pkg:npm/array-unique@0.3.2                                          direct    Legacy-Safe
⚠️ caution  pkg:npm/array.prototype.flat@1.3.1                                  direct    Stalled
⚠️ caution  pkg:npm/array.prototype.flatmap@1.3.1                               direct    Stalled
✅ ok        pkg:npm/asap@2.0.6                                                  direct    Legacy-Safe
✅ ok        pkg:npm/asn1@0.2.6                                                  direct    Legacy-Safe
⚠️ caution  pkg:npm/assert-never@1.2.1                                          direct    Stalled
✅ ok        pkg:npm/assert-plus@1.0.0                                           direct    Legacy-Safe
⚠️ caution  pkg:npm/assertion-error@1.1.0                                       direct    Stalled
✅ ok        pkg:npm/assign-symbols@1.0.0                                        direct    Legacy-Safe
✅ ok        pkg:npm/astral-regex@2.0.0                                          direct    Legacy-Safe
⚠️ caution  pkg:npm/async@3.2.4                                                 direct    Stalled
✅ ok        pkg:npm/asynckit@0.4.0                                              direct    Active
✅ ok        pkg:npm/at-least-node@1.0.0                                         direct    Legacy-Safe
✅ ok        pkg:npm/atob@2.1.2                                                  direct    Legacy-Safe
⚠️ caution  pkg:npm/available-typed-arrays@1.0.5                                direct    Stalled
✅ ok        pkg:npm/aws-sign2@0.7.0                                             direct    Legacy-Safe
⚠️ caution  pkg:npm/aws4@1.12.0                                                 direct    Stalled
✅ ok        pkg:npm/babel-jest@26.6.3                                           direct    Active
✅ ok        pkg:npm/babel-plugin-istanbul@6.1.1                                 direct    Active
✅ ok        pkg:npm/babel-plugin-jest-hoist@26.6.2                              direct    Active
✅ ok        pkg:npm/babel-preset-current-node-syntax@1.0.1                      direct    Active
✅ ok        pkg:npm/babel-preset-jest@26.6.2                                    direct    Active
⚠️ caution  pkg:npm/babel-walk@3.0.0-canary-5                                   direct    Stalled
✅ ok        pkg:npm/backo2@1.0.2                                                direct    Legacy-Safe
✅ ok        pkg:npm/balanced-match@1.0.2                                        direct    Active
✅ ok        pkg:npm/base64-arraybuffer@0.1.4                                    direct    Legacy-Safe
⚠️ caution  pkg:npm/base64-js@0.0.8                                             direct    Stalled
⚠️ caution  pkg:npm/base64-js@1.5.1                                             direct    Stalled
✅ ok        pkg:npm/base64id@2.0.0                                              direct    Legacy-Safe
✅ ok        pkg:npm/base64url@0.0.6                                             direct    Legacy-Safe
✅ ok        pkg:npm/base@0.11.2                                                 direct    Legacy-Safe
⚠️ caution  pkg:npm/basic-auth@1.1.0                                            direct    Stalled
⚠️ caution  pkg:npm/basic-auth@2.0.1                                            direct    Stalled
✅ ok        pkg:npm/batch@0.6.1                                                 direct    Legacy-Safe
✅ ok        pkg:npm/bcrypt-pbkdf@1.0.2                                          direct    Legacy-Safe
🔍 review    pkg:npm/beep-boop@1.2.3                                             direct    Review Needed
✅ ok        pkg:npm/big-integer@1.6.51                                          direct    Legacy-Safe
✅ ok        pkg:npm/binary-extensions@2.2.0                                     direct    Active
🔍 review    pkg:npm/binary@0.3.0                                                direct    Review Needed
✅ ok        pkg:npm/bindings@1.5.0                                              direct    Legacy-Safe
✅ ok        pkg:npm/bintrees@1.0.2                                              direct    Legacy-Safe
✅ ok        pkg:npm/bl@1.2.3                                                    direct    Active
✅ ok        pkg:npm/bl@4.1.0                                                    direct    Active
✅ ok        pkg:npm/blob-util@2.0.2                                             direct    Legacy-Safe
⚠️ caution  pkg:npm/bluebird@3.4.7                                              direct    Stalled
⚠️ caution  pkg:npm/bluebird@3.7.2                                              direct    Stalled
✅ ok        pkg:npm/body-parser@1.20.1                                          direct    Active
⚠️ caution  pkg:npm/bower-config@1.4.3                                          direct    Stalled
✅ ok        pkg:npm/brace-expansion@1.1.11                                      direct    Active
✅ ok        pkg:npm/brace-expansion@2.0.1                                       direct    Active
⚠️ caution  pkg:npm/braces@2.3.2                                                direct    Stalled
✅ ok        pkg:npm/brotli@1.3.3                                                direct    Legacy-Safe
✅ ok        pkg:npm/browser-process-hrtime@1.0.0                                direct    Legacy-Safe
✅ ok        pkg:npm/browser-stdout@1.3.1                                        direct    Legacy-Safe
✅ ok        pkg:npm/browserslist@4.21.5                                         direct    Active
✅ ok        pkg:npm/bs-logger@0.2.6                                             direct    Legacy-Safe
✅ ok        pkg:npm/bser@2.1.1                                                  direct    Active
✅ ok        pkg:npm/buffer-alloc-unsafe@1.1.0                                   direct    Legacy-Safe
✅ ok        pkg:npm/buffer-alloc@1.2.0                                          direct    Legacy-Safe
✅ ok        pkg:npm/buffer-crc32@0.2.13                                         direct    Legacy-Safe
✅ ok        pkg:npm/buffer-fill@1.0.0                                           direct    Legacy-Safe
✅ ok        pkg:npm/buffer-from@1.1.2                                           direct    Legacy-Safe
✅ ok        pkg:npm/buffer-indexof-polyfill@1.0.2                               direct    Legacy-Safe
⚠️ caution  pkg:npm/buffer@5.7.1                                                direct    Stalled
🔍 review    pkg:npm/buffers@0.1.1                                               direct    Review Needed
✅ ok        pkg:npm/busboy@1.6.0                                                direct    Legacy-Safe
✅ ok        pkg:npm/byline@4.2.2                                                direct    Legacy-Safe
✅ ok        pkg:npm/bytes@3.0.0                                                 direct    Legacy-Safe
✅ ok        pkg:npm/bytes@3.1.2                                                 direct    Legacy-Safe
✅ ok        pkg:npm/cacache@15.3.0                                              direct    Active
✅ ok        pkg:npm/cache-base@1.0.1                                            direct    Legacy-Safe
✅ ok        pkg:npm/cacheable-request@2.1.4                                     direct    Active
✅ ok        pkg:npm/cachedir@2.3.0                                              direct    Legacy-Safe
✅ ok        pkg:npm/caching-transform@4.0.0                                     direct    Legacy-Safe
⚠️ caution  pkg:npm/call-bind@1.0.2                                             direct    Stalled
⚠️ caution  pkg:npm/callsites@3.1.0                                             direct    Stalled
✅ ok        pkg:npm/camelcase@5.3.1                                             direct    Active
✅ ok        pkg:npm/caniuse-lite@1.0.30001452                                   direct    Active
⚠️ caution  pkg:npm/capture-exit@2.0.0                                          direct    Stalled
✅ ok        pkg:npm/caseless@0.12.0                                             direct    Legacy-Safe
✅ ok        pkg:npm/chai-as-promised@7.1.1                                      direct    Active
✅ ok        pkg:npm/chai@4.3.7                                                  direct    Active
🔍 review    pkg:npm/chainsaw@0.1.0                                              direct    Review Needed
✅ ok        pkg:npm/chalk@1.1.3                                                 direct    Active
✅ ok        pkg:npm/chalk@2.4.2                                                 direct    Active
⚠️ caution  pkg:npm/char-regex@1.0.2                                            direct    Stalled
⚠️ caution  pkg:npm/character-parser@2.2.0                                      direct    Stalled
✅ ok        pkg:npm/check-dependencies@1.1.0                                    direct    Active
✅ ok        pkg:npm/check-error@1.0.2                                           direct    Active
✅ ok        pkg:npm/check-more-types@2.24.0                                     direct    Legacy-Safe
✅ ok        pkg:npm/check-types@6.0.0                                           direct    Legacy-Safe
✅ ok        pkg:npm/chokidar@3.5.1                                              direct    Active
⚠️ caution  pkg:npm/chownr@2.0.0                                                direct    Stalled
✅ ok        pkg:npm/ci-info@3.8.0                                               direct    Active
✅ ok        pkg:npm/cjs-module-lexer@0.6.0                                      direct    Active
✅ ok        pkg:npm/clarinet@0.12.5                                             direct    Legacy-Safe
✅ ok        pkg:npm/class-utils@0.3.6                                           direct    Legacy-Safe
✅ ok        pkg:npm/clean-stack@2.2.0                                           direct    Active
⚠️ caution  pkg:npm/cli-cursor@3.1.0                                            direct    Stalled
⚠️ caution  pkg:npm/cli-table3@0.6.3                                            direct    Stalled
✅ ok        pkg:npm/cli-truncate@2.1.0                                          direct    Active
⚠️ caution  pkg:npm/cliui@5.0.0                                                 direct    Stalled
⚠️ caution  pkg:npm/cliui@7.0.4                                                 direct    Stalled
⚠️ caution  pkg:npm/clone-response@1.0.2                                        direct    Stalled
✅ ok        pkg:npm/clone@2.1.2                                                 direct    Legacy-Safe
✅ ok        pkg:npm/co@4.6.0                                                    direct    Legacy-Safe
🔴 replace   pkg:npm/code-point-at@1.1.0                                         direct    EOL-Confirmed
✅ ok        pkg:npm/collect-v8-coverage@1.0.1                                   direct    Active
✅ ok        pkg:npm/collection-visit@1.0.0                                      direct    Legacy-Safe
✅ ok        pkg:npm/color-convert@1.9.3                                         direct    Active
✅ ok        pkg:npm/color-name@1.1.3                                            direct    Active
✅ ok        pkg:npm/color-string@1.9.1                                          direct    Active
✅ ok        pkg:npm/color-support@1.1.3                                         direct    Legacy-Safe
✅ ok        pkg:npm/color@3.2.1                                                 direct    Active
⚠️ caution  pkg:npm/colorette@2.0.19                                            direct    Stalled
✅ ok        pkg:npm/colors@1.1.2                                                direct    Legacy-Safe
✅ ok        pkg:npm/colors@1.4.0                                                direct    Legacy-Safe
✅ ok        pkg:npm/colorspace@1.1.4                                            direct    Legacy-Safe
✅ ok        pkg:npm/combined-stream@1.0.8                                       direct    Legacy-Safe
✅ ok        pkg:npm/commander@5.1.0                                             direct    Active
✅ ok        pkg:npm/common-tags@1.8.2                                           direct    Legacy-Safe
🔍 review    pkg:npm/commondir@1.0.1                                             direct    Review Needed
✅ ok        pkg:npm/component-emitter@1.3.0                                     direct    Legacy-Safe
✅ ok        pkg:npm/component-type@1.2.1                                        direct    Legacy-Safe
⚠️ caution  pkg:npm/compress-commons@1.2.2                                      direct    Stalled
⚠️ caution  pkg:npm/compressible@2.0.18                                         direct    Stalled
✅ ok        pkg:npm/compression@1.7.4                                           direct    Active
⚠️ caution  pkg:npm/concat-map@0.0.1                                            direct    Stalled
✅ ok        pkg:npm/concat-stream@1.6.2                                         direct    Legacy-Safe
✅ ok        pkg:npm/concurrently@5.3.0                                          direct    Active
✅ ok        pkg:npm/config@3.3.9                                                direct    Active
✅ ok        pkg:npm/console-control-strings@1.1.0                               direct    Legacy-Safe
⚠️ caution  pkg:npm/constantinople@4.0.1                                        direct    Stalled
✅ ok        pkg:npm/content-disposition@0.5.4                                   direct    Active
✅ ok        pkg:npm/content-type@1.0.5                                          direct    Active
⚠️ caution  pkg:npm/convert-source-map@1.9.0                                    direct    Stalled
⚠️ caution  pkg:npm/cookie-parser@1.4.6                                         direct    Stalled
⚠️ caution  pkg:npm/cookie-signature@1.0.6                                      direct    Stalled
✅ ok        pkg:npm/cookie@0.4.1                                                direct    Active
✅ ok        pkg:npm/cookie@0.5.0                                                direct    Active
✅ ok        pkg:npm/copy-descriptor@0.1.1                                       direct    Legacy-Safe
✅ ok        pkg:npm/core-util-is@1.0.2                                          direct    Legacy-Safe
✅ ok        pkg:npm/cors@2.8.5                                                  direct    Active
✅ ok        pkg:npm/corser@2.0.1                                                direct    Legacy-Safe
⚠️ caution  pkg:npm/crc32-stream@2.0.0                                          direct    Stalled
✅ ok        pkg:npm/crc@3.8.0                                                   direct    Legacy-Safe
✅ ok        pkg:npm/create-require@1.1.1                                        direct    Legacy-Safe
⚠️ caution  pkg:npm/cross-spawn@6.0.5                                           direct    Stalled
⚠️ caution  pkg:npm/cross-spawn@7.0.3                                           direct    Stalled
✅ ok        pkg:npm/crypto-js@3.3.0                                             direct    Legacy-Safe
✅ ok        pkg:npm/cssom@0.3.8                                                 direct    Legacy-Safe
✅ ok        pkg:npm/cssom@0.4.4                                                 direct    Legacy-Safe
✅ ok        pkg:npm/cssstyle@2.3.0                                              direct    Active
✅ ok        pkg:npm/cypress@9.7.0                                               direct    Active
✅ ok        pkg:npm/dashdash@1.14.1                                             direct    Legacy-Safe
✅ ok        pkg:npm/data-urls@2.0.0                                             direct    Active
⚠️ caution  pkg:npm/date-fns@2.29.3                                             direct    Stalled
✅ ok        pkg:npm/dateformat@4.6.3                                            direct    Legacy-Safe
✅ ok        pkg:npm/dayjs@1.11.7                                                direct    Active
✅ ok        pkg:npm/debug@4.3.1                                                 direct    Active
✅ ok        pkg:npm/debug@4.3.4                                                 direct    Active
✅ ok        pkg:npm/decamelize@1.2.0                                            direct    Active
✅ ok        pkg:npm/decamelize@4.0.0                                            direct    Active
✅ ok        pkg:npm/decimal.js@10.4.3                                           direct    Active
✅ ok        pkg:npm/decode-uri-component@0.2.2                                  direct    Legacy-Safe
✅ ok        pkg:npm/decompress-response@3.3.0                                   direct    Active
✅ ok        pkg:npm/decompress-response@4.2.1                                   direct    Active
✅ ok        pkg:npm/decompress-tar@4.1.1                                        direct    Legacy-Safe
✅ ok        pkg:npm/decompress-tarbz2@4.1.1                                     direct    Legacy-Safe
✅ ok        pkg:npm/decompress-targz@4.1.1                                      direct    Legacy-Safe
✅ ok        pkg:npm/decompress-unzip@4.0.1                                      direct    Legacy-Safe
✅ ok        pkg:npm/decompress@4.2.1                                            direct    Legacy-Safe
⚠️ caution  pkg:npm/deep-eql@4.1.3                                              direct    Stalled
✅ ok        pkg:npm/deep-equal@2.2.0                                            direct    Active
✅ ok        pkg:npm/deep-extend@0.6.0                                           direct    Legacy-Safe
✅ ok        pkg:npm/deep-is@0.1.4                                               direct    Legacy-Safe
✅ ok        pkg:npm/deepmerge@4.3.0                                             direct    Legacy-Safe
✅ ok        pkg:npm/default-require-extensions@3.0.1                            direct    Legacy-Safe
